Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0402_1005Metric,97.552111,-74.885,-90.0,top
C10,100pF,C_0402_1005Metric,97.502111,-72.985,0.0,top
C11,22uF,C_0402_1005Metric,97.552111,-92.235,-90.0,top
C12,100pF,C_0402_1005Metric,97.502111,-90.335,0.0,top
C13,22uF,C_0402_1005Metric,97.552111,-109.585,-90.0,top
C14,100pF,C_0402_1005Metric,97.502111,-107.685,0.0,top
C15,22uF,C_0402_1005Metric,97.552111,-126.935,-90.0,top
C16,100pF,C_0402_1005Metric,97.502111,-125.035,0.0,top
C17,100nF,C_0402_1005Metric,101.132111,-71.885,0.0,top
C18,100nF,C_0402_1005Metric,101.132111,-89.235,0.0,top
C19,100nF,C_0402_1005Metric,101.132111,-106.585,0.0,top
C2,C,C_0402_1005Metric,107.4,-57.44,-90.0,top
C20,100nF,C_0402_1005Metric,101.132111,-123.935,0.0,top
J1,Input,Magnet Wire THT,93.429352,-68.833635,0.0,top
J10,Input,Magnet Wire THT,93.429352,-103.533635,0.0,top
J11,~,Magnet Wire THT,93.429352,-113.816365,0.0,top
J12,~,Magnet Wire THT,106.57487,-103.533635,0.0,top
J13,~,Magnet Wire THT,106.57487,-113.816365,0.0,top
J14,Input,Magnet Wire THT,93.429352,-120.883635,0.0,top
J15,~,Magnet Wire THT,93.429352,-131.166365,0.0,top
J16,~,Magnet Wire THT,106.57487,-120.883635,0.0,top
J17,~,Magnet Wire THT,106.57487,-131.166365,0.0,top
J2,~,Magnet Wire THT,106.57487,-79.116365,0.0,top
J3,~,Magnet Wire THT,93.429352,-79.116365,0.0,top
J4,~,Magnet Wire THT,106.57487,-68.833635,0.0,top
J5,Input,Magnet Wire THT,93.429352,-86.183635,0.0,top
J6,~,Magnet Wire THT,93.429352,-96.466365,0.0,top
J7,~,Magnet Wire THT,106.57487,-86.183635,0.0,top
J8,~,Magnet Wire THT,106.57487,-96.466365,0.0,top
J9,~,PinHeader_1x06_P2.00mm_Horizontal,99.9,-57.25,270.0,bottom
R1,R,R_0402_1005Metric,107.4,-59.4,-90.0,top
R13,1K,R_0402_1005Metric,97.452111,-72.035,0.0,top
R14,2.2K,R_0402_1005Metric,99.162111,-75.335,0.0,top
R15,15K,R_0402_1005Metric,101.302111,-75.335,0.0,top
R16,1K,R_0402_1005Metric,97.452111,-89.385,0.0,top
R17,2.2K,R_0402_1005Metric,99.162111,-92.685,0.0,top
R18,15K,R_0402_1005Metric,101.302111,-92.685,0.0,top
R19,1K,R_0402_1005Metric,97.452111,-106.735,0.0,top
R2,R,R_0402_1005Metric,106.455,-59.407,90.0,top
R20,2.2K,R_0402_1005Metric,99.162111,-110.035,0.0,top
R21,15K,R_0402_1005Metric,101.302111,-110.035,0.0,top
R22,1K,R_0402_1005Metric,97.452111,-124.085,0.0,top
R23,2.2K,R_0402_1005Metric,99.162111,-127.385,0.0,top
R24,15K,R_0402_1005Metric,101.302111,-127.385,0.0,top
U1,OPA376,SOT-353_SC-70-5,100.002111,-73.685,180.0,top
U2,OPA376,SOT-353_SC-70-5,100.002111,-91.035,180.0,top
U3,OPA376,SOT-353_SC-70-5,100.002111,-108.385,180.0,top
U4,OPA376,SOT-353_SC-70-5,100.002111,-125.735,180.0,top
