Comment,Designator,Footprint,LCSC,Quantity
100nF,C9,C_0402_1005Metric,,1
100,R8,R_0402_1005Metric,,1
100,R6,R_0402_1005Metric,,1
100nF,C5,C_0402_1005Metric,,1
100nF,C3,C_0402_1005Metric,,1
2.2K,R4,R_0402_1005Metric,,1
100nF,C4,C_0402_1005Metric,,1
MMBF201,Q4,SOT-23,,1
1K,R10,R_0402_1005Metric,,1
100,R5,R_0402_1005Metric,,1
MMBF201,Q2,SOT-23,,1
MMBF201,Q3,SOT-23,,1
100nF,C7,C_0402_1005Metric,,1
1K,R3,R_0402_1005Metric,,1
MMBF201,Q1,SOT-23,,1
1K,R7,R_0402_1005Metric,,1
1K,R2,R_0402_1005Metric,,1
100nF,C6,C_0402_1005Metric,,1
100nF,C2,C_0402_1005Metric,,1
2.2K,R1,R_0402_1005Metric,,1
2.2K,R9,R_0402_1005Metric,,1
100,R11,R_0402_1005Metric,,1
100nF,C8,C_0402_1005Metric,,1
2.2K,R12,R_0402_1005Metric,,1
