Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0603_1608Metric,96.597889,-73.815,0.0,top
C10,100pF,C_0402_1005Metric,97.5,-71.65,0.0,top
C11,22uF,C_0603_1608Metric,96.597889,-91.555,0.0,top
C12,100pF,C_0402_1005Metric,97.5,-89.89,0.0,top
C13,22uF,C_0603_1608Metric,96.497889,-109.845,0.0,top
C14,100pF,C_0402_1005Metric,97.5,-108.13,0.0,top
C15,22uF,C_0603_1608Metric,96.497889,-128.035,0.0,top
C16,100pF,C_0402_1005Metric,97.5,-126.37,0.0,top
C17,100nF,C_0402_1005Metric,101.13,-70.55,0.0,top
C18,100nF,C_0402_1005Metric,101.13,-88.79,0.0,top
C19,100nF,C_0402_1005Metric,101.13,-107.03,0.0,top
C2,10uF,C_0603_1608Metric,100.25,-100.0,-90.0,top
C20,100nF,C_0402_1005Metric,101.13,-125.27,0.0,top
J1,Input,Magnet Wire THT,93.427241,-67.498635,0.0,top
J10,Input,Magnet Wire THT,93.427241,-103.978635,0.0,top
J11,~,Magnet Wire THT,93.427241,-114.261365,0.0,top
J12,~,Magnet Wire THT,106.572759,-103.978635,0.0,top
J13,~,Magnet Wire THT,106.572759,-114.261365,0.0,top
J14,Input,Magnet Wire THT,93.427241,-122.218635,0.0,top
J15,~,Magnet Wire THT,93.427241,-132.501365,0.0,top
J16,~,Magnet Wire THT,106.572759,-122.218635,0.0,top
J17,~,Magnet Wire THT,106.572759,-132.501365,0.0,top
J2,~,Magnet Wire THT,106.572759,-77.781365,0.0,top
J3,~,Magnet Wire THT,93.427241,-77.781365,0.0,top
J4,~,Magnet Wire THT,106.572759,-67.498635,0.0,top
J5,Input,Magnet Wire THT,93.427241,-85.738635,0.0,top
J6,~,Magnet Wire THT,93.427241,-96.021365,0.0,top
J7,~,Magnet Wire THT,106.572759,-85.738635,0.0,top
J8,~,Magnet Wire THT,106.572759,-96.021365,0.0,top
J9,~,PinHeader_1x06_P2.00mm_Horizontal,99.9,-57.25,270.0,bottom
R1,100K,R_0402_1005Metric,101.6,-100.0,90.0,top
R13,1K,R_0402_1005Metric,97.45,-70.7,0.0,top
R14,2.2K,R_0402_1005Metric,99.16,-74.0,0.0,top
R15,15K,R_0402_1005Metric,101.3,-74.0,0.0,top
R16,1K,R_0402_1005Metric,97.45,-88.94,0.0,top
R17,2.2K,R_0402_1005Metric,99.16,-92.24,0.0,top
R18,15K,R_0402_1005Metric,101.3,-92.24,0.0,top
R19,1K,R_0402_1005Metric,97.45,-107.18,0.0,top
R2,43K,R_0402_1005Metric,102.7,-100.0,-90.0,top
R20,2.2K,R_0402_1005Metric,99.16,-110.48,0.0,top
R21,15K,R_0402_1005Metric,101.3,-110.48,0.0,top
R22,1K,R_0402_1005Metric,97.45,-125.42,0.0,top
R23,2.2K,R_0402_1005Metric,99.16,-128.72,0.0,top
R24,15K,R_0402_1005Metric,101.3,-128.72,0.0,top
U1,OPA376,SOT-353_SC-70-5,100.0,-72.35,180.0,top
U2,OPA376,SOT-353_SC-70-5,100.0,-90.59,180.0,top
U3,OPA376,SOT-353_SC-70-5,100.0,-108.83,180.0,top
U4,OPA376,SOT-353_SC-70-5,100.0,-127.07,180.0,top
